date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:25	67581/67581	---MCZ	200	added ('OK')	text/html	etag:W/%225d552c2b-107fd%22	https://adminlte.io/themes/AdminLTE/index2.html	C:/My%20Web%20Sites/fb.admin/adminlte.io/themes/AdminLTE/index2.html	(from )
10:27:26	24/24	---M--	200	added ('OK')	text/plain	etag:%225909dd5f-18%22	https://adminlte.io/robots.txt		(from )
10:27:27	121457/121457	---MCZ	200	added ('OK')	text/css	etag:W/%225d552c2b-1da71%22	https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/fb.admin/adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/css/bootstrap.min.css	(from https://adminlte.io/themes/AdminLTE/index2.html)
10:27:27	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225d552c2b-7918%22	https://adminlte.io/themes/AdminLTE/bower_components/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/fb.admin/adminlte.io/themes/AdminLTE/bower_components/font-awesome/css/font-awesome.min.css	(from https://adminlte.io/themes/AdminLTE/index2.html)
10:27:28	51284/51284	---MCZ	200	added ('OK')	text/css	etag:W/%225d552c2b-c854%22	https://adminlte.io/themes/AdminLTE/bower_components/Ionicons/css/ionicons.min.css	C:/My%20Web%20Sites/fb.admin/adminlte.io/themes/AdminLTE/bower_components/Ionicons/css/ionicons.min.css	(from https://adminlte.io/themes/AdminLTE/index2.html)
10:27:28	716/716	---MCZ	200	added ('OK')	text/css	etag:W/%225d552c2b-2cc%22	https://adminlte.io/themes/AdminLTE/bower_components/jvectormap/jquery-jvectormap.css	C:/My%20Web%20Sites/fb.admin/adminlte.io/themes/AdminLTE/bower_components/jvectormap/jquery-jvectormap.css	(from https://adminlte.io/themes/AdminLTE/index2.html)
10:27:28	106538/106538	---MCZ	200	added ('OK')	text/css	etag:W/%225d552c2b-1a02a%22	https://adminlte.io/themes/AdminLTE/dist/css/AdminLTE.min.css	C:/My%20Web%20Sites/fb.admin/adminlte.io/themes/AdminLTE/dist/css/AdminLTE.min.css	(from https://adminlte.io/themes/AdminLTE/index2.html)
10:27:29	41635/41635	---MCZ	200	added ('OK')	text/css	etag:W/%225d552c2b-a2a3%22	https://adminlte.io/themes/AdminLTE/dist/css/skins/_all-skins.min.css	C:/My%20Web%20Sites/fb.admin/adminlte.io/themes/AdminLTE/dist/css/skins/_all-skins.min.css	(from https://adminlte.io/themes/AdminLTE/index2.html)
10:27:29	7070/7070	---M--	200	added ('OK')	image/jpeg	etag:%225d552c2b-1b9e%22	https://adminlte.io/themes/AdminLTE/dist/img/user2-160x160.jpg	C:/My%20Web%20Sites/fb.admin/adminlte.io/themes/AdminLTE/dist/img/user2-160x160.jpg	(from https://adminlte.io/themes/AdminLTE/index2.html)
10:27:29	3511/3511	---M--	200	added ('OK')	image/jpeg	etag:%225d552c2b-db7%22	https://adminlte.io/themes/AdminLTE/dist/img/user3-128x128.jpg	C:/My%20Web%20Sites/fb.admin/adminlte.io/themes/AdminLTE/dist/img/user3-128x128.jpg	(from https://adminlte.io/themes/AdminLTE/index2.html)
